	Chromosome	Position	128RT_CM-_vs_128RT_PBMC.tumour
1_69511	1	69511	-0.725200828245205
1_923744	1	923744	0.238492044504346
1_923955	1	923955	-0.0308091197318063
1_923990	1	923990	-0.0600292586467998
1_924533	1	924533	0.0122596021600794
1_930314	1	930314	0.0583400981464198
1_931042	1	931042	0.316716560821036
1_935859	1	935859	-0.0344158592125399
1_943364	1	943364	-0.24757237163537
1_943365	1	943365	-0.250774803673714
1_943896	1	943896	0.0154620341984234
1_943991	1	943991	-0.23402343938439
1_952062	1	952062	-0.0502614823979789
1_954071	1	954071	-0.262134665838262
1_957132	1	957132	-0.0352687679225062
1_957189	1	957189	0.0242322438261558
1_957213	1	957213	0.00758311495060649
1_961906	1	961906	0.375015201385703
1_961957	1	961957	0.0817447024813632
1_962358	1	962358	-6.06694757882839e-05
1_962739	1	962739	-0.00635607600726753
1_963349	1	963349	0.162853125350458
1_963472	1	963472	0.129089557645265
1_963475	1	963475	0.164713467375986
1_964135	1	964135	-0.113271279923779
1_965059	1	965059	0.0179732533544734
1_965125	1	965125	0.0157706650779596
1_966211	1	966211	-0.472813666610919
1_966708	1	966708	-0.0833180578221514
1_970911	1	970911	0.190882113235607
1_970922	1	970922	0.177629919342959
1_970932	1	970932	0.305954016318498
1_971132	1	971132	0.4061028791698
1_973289	1	973289	-0.241595376899319
1_973549	1	973549	-0.313968630160908
1_973940	1	973940	0.137861036853723
1_973946	1	973946	0.083125932879724
1_974557	1	974557	-0.15469120730376
1_976536	1	976536	0.202756213523899
1_978945	1	978945	-0.179869028652803
1_978996	1	978996	-0.0779382068114987
1_979347	1	979347	-0.151745427738415
1_979355	1	979355	-0.0341997089325807
1_979560	1	979560	-0.240183392405999
1_979654	1	979654	0.0546733573902923
1_980008	1	980008	0.304396475399737
1_980234	1	980234	0.0731418443071021
1_981154	1	981154	0.197068840688371
1_982112	1	982112	0.0816404049905614
1_999842	1	999842	-0.121782779779297
1_1014042	1	1014042	0.116734325522544
1_1014058	1	1014058	0.198672726390961
1_1014217	1	1014217	0.152189863304554
1_1014228	1	1014228	0.166836639268956
1_1020239	1	1020239	0.0642669056284082
1_1022260	1	1022260	-0.082574482700863
1_1041183	1	1041183	0.215351467537591
1_1041249	1	1041249	0.384755584026096
1_1041648	1	1041648	0.208656814963583
1_1043354	1	1043354	-0.195733440115752
1_1043839	1	1043839	0.37677957377191
1_1045393	1	1045393	0.110943877019486
1_1045965	1	1045965	-0.113271279923779
1_1046551	1	1046551	0.114997707749338
1_1046845	1	1046845	0.356214003377441
1_1046854	1	1046854	0.346160338713518
1_1047403	1	1047403	0.503400080524715
1_1047626	1	1047626	0.117508926905388
1_1048126	1	1048126	0.160651442052751
1_1048900	1	1048900	0.389229060605404
1_1049046	1	1049046	0.328733266955334
1_1049746	1	1049746	0.184908212190974
1_1049791	1	1049791	0.186742038535142
1_1050785	1	1050785	0.045426466095279
1_1051538	1	1051538	0.0631552874604883
1_1052014	1	1052014	-0.195733440115752
1_1053768	1	1053768	0.0704406732486088
1_1053827	1	1053827	-0.0870397383505999
1_1053840	1	1053840	-0.00733783517471432
1_1053915	1	1053915	-0.0643616794428329
1_1053933	1	1053933	-0.163311962423375
1_1054917	1	1054917	-0.0694169903343519
1_1055393	1	1055393	0.406399760545658
1_1069443	1	1069443	0.127736819580016
1_1069566	1	1069566	0.222519468345329
1_1069577	1	1069577	0.159747214482636
1_1071916	1	1071916	0.466825465625561
1_1072052	1	1072052	-0.0116310180479417
1_1072237	1	1072237	0.0566537215185331
1_1072454	1	1072454	0.32062524660638
1_1083934	1	1083934	-0.113271279923779
1_1084003	1	1084003	-0.186334742113503
1_1087154	1	1087154	-0.230840876304955
1_1087155	1	1087155	-0.19198325593782
1_1091167	1	1091167	0.301766219355064
1_1091290	1	1091290	-0.233565513641491
1_1091576	1	1091576	0.149763125910015
1_1180168	1	1180168	0.163957007492769
1_1180802	1	1180802	0.385182227542702
1_1185041	1	1185041	0.158030741893615
1_1185051	1	1185051	0.198672726390961
1_1185123	1	1185123	-0.0638026036594795
1_1188877	1	1188877	0.0258914677478463
1_1194632	1	1194632	-0.482505089589498
1_1196705	1	1196705	0.330828684957527
1_1197558	1	1197558	-0.0798482783863291
1_1197586	1	1197586	-0.0397422445018141
1_1197745	1	1197745	-0.00635607600726753
1_1203822	1	1203822	-0.131886958091126
1_1203836	1	1203836	-0.189442960409183
1_1203871	1	1203871	-0.229464297428302
1_1204015	1	1204015	-0.0119879440865977
1_1204185	1	1204185	0.341294583541702
1_1206396	1	1206396	0.140485312322004
1_1211585	1	1211585	0.000385501871787848
1_1211644	1	1211644	-0.113271279923779
1_1212898	1	1212898	0.172779778634986
1_1213249	1	1213249	0.00337363892849119
1_1213734	1	1213734	-0.462420843546166
1_1214100	1	1214100	0.122106783007149
1_1217629	1	1217629	-0.148036698084456
1_1218703	1	1218703	-0.0856854482518799
1_1218967	1	1218967	0.0122596021600794
1_1228651	1	1228651	0.074932455236842
1_1228685	1	1228685	0.0687265538191081
1_1232416	1	1232416	0.191583301604642
1_1232800	1	1232800	0.368880415213601
1_1242506	1	1242506	0.43017195135911
1_1242516	1	1242516	0.325840354333922
1_1242601	1	1242601	0.610397491628969
1_1242864	1	1242864	0.328100367168527
1_1242871	1	1242871	0.267550504017151
1_1242875	1	1242875	0.188109437559497
1_1242886	1	1242886	0.22114775914678
1_1243468	1	1243468	0.235623862563852
1_1244420	1	1244420	0.291570452249176
1_1246651	1	1246651	-0.096592538777149
1_1255392	1	1255392	0.304954496986112
1_1262318	1	1262318	0.117026339498015
1_1266173	1	1266173	0.258697497463179
1_1266225	1	1266225	0.378581816405895
1_1284021	1	1284021	0.102457411131658
1_1285442	1	1285442	0.227765637911288
1_1285529	1	1285529	0.0695927772260311
1_1285594	1	1285594	0.152622780049255
1_1286150	1	1286150	-0.00262721623978698
1_1286952	1	1286952	0.0628856752300478
1_1287578	1	1287578	0.27614041167957
1_1287983	1	1287983	-0.319722157391206
1_1288005	1	1288005	-0.277901981696579
1_1290683	1	1290683	-0.113271279923779
1_1290687	1	1290687	-0.0626452068538112
1_1291289	1	1291289	-0.162180880404726
1_1291310	1	1291310	0.0319266356161562
1_1291396	1	1291396	0.00220593749615662
1_1294498	1	1294498	-0.0346614452274128
1_1296589	1	1296589	-0.125048447700133
1_1309258	1	1309258	0.000385501871787848
1_1310642	1	1310642	0.348308805292095
1_1310993	1	1310993	0.0490001489750979
1_1311058	1	1311058	0.0077441210375865
1_1311467	1	1311467	0.181349468967848
1_1311527	1	1311527	0.429046883388883
1_1311620	1	1311620	0.0566537215185331
1_1312114	1	1312114	0.0974958162930413
1_1313527	1	1313527	-0.0989159869467093
