	Chromosome	Position	76B_CM-_vs_76B_PBMC.tumour
1_69511	1	69511	0.73730355022188
1_923744	1	923744	-0.75634378375333
1_923955	1	923955	-0.429179040499821
1_923990	1	923990	-0.508962642231022
1_924533	1	924533	-0.181976398271373
1_930314	1	930314	-0.29400056969613
1_931042	1	931042	-0.552952324346939
1_935859	1	935859	-0.229565856789633
1_943364	1	943364	-0.296912165116033
1_943365	1	943365	-0.220876274083493
1_943896	1	943896	-0.25332289656835
1_943991	1	943991	-0.32605851077555
1_952062	1	952062	-0.618840260003396
1_954071	1	954071	-0.396447838666947
1_957132	1	957132	-0.508136795597176
1_957189	1	957189	-0.267674943890937
1_957213	1	957213	0.0207574972946063
1_961906	1	961906	-0.0527367865335551
1_961957	1	961957	-0.163160776227206
1_962358	1	962358	-0.293439973209228
1_962739	1	962739	-0.396447838666947
1_963349	1	963349	-0.431213256827624
1_963349.1	1	963349	-0.431213256827624
1_963472	1	963472	-0.478662601955135
1_963475	1	963475	-0.472989393539941
1_964135	1	964135	-0.550668757361816
1_965059	1	965059	-0.189447467747482
1_965125	1	965125	-0.107878340726016
1_966211	1	966211	-0.0269249986404724
1_966708	1	966708	-0.37091274655981
1_970911	1	970911	-0.310717964641064
1_970922	1	970922	-0.282972974158159
1_970932	1	970932	-0.240328636749666
1_971132	1	971132	-0.640866566333394
1_973289	1	973289	-0.299222325803234
1_973549	1	973549	0.0499538315212313
1_973940	1	973940	-0.0235358150607803
1_973946	1	973946	-0.0441460947360666
1_974557	1	974557	-0.921403030023827
1_976536	1	976536	-0.165328612909916
1_978945	1	978945	-0.351144476799739
1_978996	1	978996	-0.384375006366373
1_979347	1	979347	-0.680240804667539
1_979355	1	979355	-0.543289226996219
1_979560	1	979560	-0.470317735293307
1_979654	1	979654	-0.234499557947468
1_980008	1	980008	-0.344978823685246
1_980234	1	980234	-0.44600366314118
1_981154	1	981154	-0.468699910575535
1_982112	1	982112	-0.295225788488146
1_999842	1	999842	-0.198836507831202
1_1014042	1	1014042	-0.447073911736916
1_1014058	1	1014058	-0.360528264412005
1_1014217	1	1014217	-0.479115496336782
1_1014228	1	1014228	-0.339457860082118
1_1020239	1	1020239	-0.23417640976807
1_1022260	1	1022260	-0.507194904174487
1_1041183	1	1041183	-0.601138258269936
1_1041249	1	1041249	-0.461298983016915
1_1041648	1	1041648	-0.180151492659906
1_1043354	1	1043354	-0.342000054644571
1_1043839	1	1043839	-0.406295624623295
1_1045393	1	1045393	-0.472989393539941
1_1045965	1	1045965	-0.169037342563875
1_1046551	1	1046551	-0.203802760724552
1_1046845	1	1046845	-0.197543770252869
1_1046854	1	1046854	-0.267674943890937
1_1047403	1	1047403	-0.166328055305889
1_1047626	1	1047626	-0.294405309505458
1_1048126	1	1048126	0.204836967356142
1_1048900	1	1048900	-0.523683026963055
1_1049046	1	1049046	0.0815994581376968
1_1049746	1	1049746	-0.144909071670983
1_1049791	1	1049791	-0.359835731205755
1_1050785	1	1050785	-0.328390396589201
1_1051538	1	1051538	-0.509215768828897
1_1052014	1	1052014	0.178851564703489
1_1053768	1	1053768	-0.426195182061
1_1053827	1	1053827	-0.299771819255274
1_1053840	1	1053840	-0.377832160499601
1_1053915	1	1053915	-0.519304586452481
1_1053933	1	1053933	-0.658368624190033
1_1054917	1	1054917	-0.24931741997692
1_1055393	1	1055393	-0.391429763900323
1_1069443	1	1069443	-0.326659508510085
1_1069566	1	1069566	-0.428737376623453
1_1069577	1	1069577	-0.315448116553461
1_1071916	1	1071916	-0.318086188220443
1_1072052	1	1072052	-0.452021169428905
1_1072237	1	1072237	-0.844908339483242
1_1072454	1	1072454	-0.026015641509269
1_1083934	1	1083934	-0.477977724163546
1_1084003	1	1084003	-0.116339919474212
1_1087154	1	1087154	0.102183790293789
1_1087155	1	1087155	0.082818465426858
1_1091167	1	1091167	-0.0389487488296613
1_1091290	1	1091290	-0.375171179036533
1_1091576	1	1091576	0.176045310091992
1_1180168	1	1180168	-0.238568178885228
1_1180802	1	1180802	-0.0883255433046157
1_1185041	1	1185041	-0.582314383978282
1_1185051	1	1185051	-0.601138258269936
1_1185123	1	1185123	-0.932500738907157
1_1188877	1	1188877	-0.36645309836911
1_1194632	1	1194632	-0.208855988450837
1_1196705	1	1196705	-0.196385289162069
1_1197558	1	1197558	-0.607869142182392
1_1197586	1	1197586	-0.472619519152352
1_1197745	1	1197745	-0.475715317904798
1_1203822	1	1203822	-0.525730855611914
1_1203836	1	1203836	-0.689229587894793
1_1203871	1	1203871	-0.523262600021164
1_1204015	1	1204015	-0.325109056946685
1_1204185	1	1204185	-0.869383721653993
1_1206396	1	1206396	-0.4206141497977
1_1211585	1	1211585	-0.555646433516202
1_1211644	1	1211644	-0.281805272725825
1_1212898	1	1212898	-0.608347886185753
1_1213249	1	1213249	-0.195765441659134
1_1213734	1	1213734	-0.0338777592822393
1_1214100	1	1214100	-0.644375352110533
1_1217629	1	1217629	-0.176322024302445
1_1218703	1	1218703	-0.146251738162393
1_1218967	1	1218967	0.0623375559770639
1_1228651	1	1228651	-0.0535601251439391
1_1228685	1	1228685	-0.120386752536914
1_1232416	1	1232416	-0.57819827550605
