	Chromosome	Position	71B_CM-_vs_71B_PBMC.tumour
1_69511	1	69511	-0.615075014112112
1_923744	1	923744	0.333593993812175
1_923955	1	923955	0.436251566396183
1_923990	1	923990	0.40199849924683
1_924533	1	924533	0.182137122490952
1_930314	1	930314	0.204352740246068
1_931042	1	931042	0.113622964070494
1_935859	1	935859	0.16253256455144
1_943364	1	943364	0.295426835048786
1_943365	1	943365	0.307963004073004
1_943896	1	943896	0.202345512039304
1_943991	1	943991	0.229066315807141
1_952062	1	952062	0.365816162940184
1_954071	1	954071	0.30667354022352
1_957132	1	957132	0.247421462137953
1_957189	1	957189	0.28944467703366
1_957213	1	957213	0.15325475096343
1_961906	1	961906	0.118811187122123
1_961957	1	961957	0.301596602288992
1_962358	1	962358	0.373429347050059
1_962739	1	962739	-0.332675283411387
1_963349	1	963349	0.190277555034345
1_963349.1	1	963349	0.190277555034345
1_963472	1	963472	-0.154273097723334
1_963475	1	963475	-0.211533153671097
1_964135	1	964135	0.0811049652075943
1_965059	1	965059	0.19145417385395
1_965125	1	965125	0.102315041717334
1_966211	1	966211	0.175132601331074
1_966708	1	966708	-0.280207863517251
1_970911	1	970911	0.452039181746425
1_970922	1	970922	0.348482989919828
1_970932	1	970932	0.404733466968069
1_971132	1	971132	0.0994357292263985
1_973289	1	973289	0.396997818188463
1_973549	1	973549	0.221426253605009
1_973940	1	973940	0.0214886830962567
1_973946	1	973946	0.0515012521626966
1_974557	1	974557	0.409692891036831
1_976536	1	976536	0.214700390416696
1_978945	1	978945	0.0900200647670723
1_978996	1	978996	-0.274149928767383
1_979347	1	979347	0.170800180535041
1_979355	1	979355	0.118507940659442
1_979560	1	979560	0.293777097829693
1_979654	1	979654	0.491620451011669
1_980008	1	980008	0.0615549168266197
1_980234	1	980234	0.0875705068702183
1_981154	1	981154	0.484460659438803
1_982112	1	982112	-0.176737427109439
1_999842	1	999842	0.104967277017626
1_1014042	1	1014042	0.247421462137953
1_1014058	1	1014058	0.173258971144499
1_1014217	1	1014217	0.340070750103628
1_1014228	1	1014228	0.297462144637549
1_1020239	1	1020239	-0.0164375764938789
1_1022260	1	1022260	-0.220796075000065
1_1041183	1	1041183	0.405389088447604
1_1041249	1	1041249	0.199058440576554
1_1041648	1	1041648	0.241417728792475
1_1043354	1	1043354	-0.067334977347154
1_1043839	1	1043839	0.083922729855074
1_1045393	1	1045393	0.105949036185073
1_1045965	1	1045965	0.0813364817034595
1_1046551	1	1046551	0.0853647040289803
1_1046845	1	1046845	-0.0172463376330011
1_1046854	1	1046854	0.155153034185843
1_1047403	1	1047403	0.0426927945454374
1_1047626	1	1047626	-0.0140870894648802
1_1048126	1	1048126	0.33919771223076
1_1048900	1	1048900	0.16253256455144
1_1049046	1	1049046	0.140506258221442
1_1049746	1	1049746	0.336015385406942
1_1049791	1	1049791	0.269548203223181
1_1050785	1	1050785	0.404733466968069
1_1051538	1	1051538	0.0295586992820197
1_1052014	1	1052014	0.215971823512901
1_1053768	1	1053768	0.16253256455144
1_1053827	1	1053827	0.189004775912631
1_1053840	1	1053840	-0.0653124128200532
1_1053915	1	1053915	-0.0265012598385767
1_1053933	1	1053933	0.0370016824675817
1_1054917	1	1054917	0.228562434886637
1_1055393	1	1055393	-0.33679986464402
1_1069443	1	1069443	0.103856657223833
1_1069566	1	1069566	0.338382399950858
1_1069577	1	1069577	0.322440856081836
1_1071916	1	1071916	0.0131549405132139
1_1072052	1	1072052	-0.0620276934677178
1_1072237	1	1072237	-0.0546981516692286
1_1072454	1	1072454	0.299105617426884
1_1083934	1	1083934	-0.422429936169716
1_1084003	1	1084003	-0.222492365660964
1_1087154	1	1087154	-0.0842000289532528
1_1087155	1	1087155	-0.0349134996547765
1_1091167	1	1091167	0.0551490291778408
1_1091290	1	1091290	-0.0159683310706858
1_1091576	1	1091576	-0.0834283279234121
1_1180168	1	1180168	0.278009781971376
1_1180802	1	1180802	0.103031552802779
1_1185041	1	1185041	0.128316849213527
1_1185051	1	1185051	0.189004775912631
1_1185123	1	1185123	0.121890580054095
1_1188877	1	1188877	0.0415171635900744
1_1194632	1	1194632	-0.228051891002865
1_1196705	1	1196705	0.319606647543912
1_1197558	1	1197558	0.284523088930051
1_1197586	1	1197586	0.253135113332347
1_1197745	1	1197745	0.13396341235467
1_1203822	1	1203822	0.54881107084886
1_1203836	1	1203836	0.56637185722542
1_1203871	1	1203871	0.247421462137953
1_1204015	1	1204015	-0.0847345254240369
1_1204185	1	1204185	-0.0058649671442781
1_1206396	1	1206396	0.404733466968069
1_1211585	1	1211585	0.322709589442191
1_1211644	1	1211644	-0.100501841282353
1_1212898	1	1212898	0.121890580054095
1_1213249	1	1213249	-0.187964682532693
1_1213734	1	1213734	0.118507940659442
1_1214100	1	1214100	0.0503648243442745
1_1217629	1	1217629	0.332457565993753
1_1218703	1	1218703	-0.192760349134342
1_1218967	1	1218967	0.083922729855074
1_1228651	1	1228651	0.284991382382475
1_1228685	1	1228685	0.377199692778661
1_1232416	1	1232416	-0.273338438144569
1_1232800	1	1232800	0.181269127133026
