	Chromosome	Position	124B_T1_vs_124B_PBMC.tumour
1_69511	1	69511	0.176304818967245
1_923744	1	923744	-0.129533083086047
1_923955	1	923955	-0.426432383481887
1_923990	1	923990	-0.232729998756449
1_924533	1	924533	-0.303595610567291
1_930314	1	930314	-0.264882278597046
1_931042	1	931042	-0.0751887217699688
1_935859	1	935859	0.42095720037797
1_943364	1	943364	0.0905675267424114
1_943365	1	943365	0.0914159213807324
1_943896	1	943896	0.0507739368833863
1_943991	1	943991	0.323953726446641
1_952062	1	952062	0.255491847126357
1_954071	1	954071	0.130651084663833
1_957132	1	957132	0.165416502824509
1_957189	1	957189	0.115148770853884
1_957213	1	957213	0.243419014825782
1_961906	1	961906	0.513422975474418
1_961957	1	961957	0.491917327501696
1_962358	1	962358	0.43067083399796
1_962739	1	962739	0.415886210830548
1_963349	1	963349	0.325179986648721
1_963349.1	1	963349	0.325179986648721
1_963472	1	963472	0.490511876790555
1_963475	1	963475	0.447291348191432
1_964135	1	964135	0.108489434739674
1_965059	1	965059	0.498728127550349
1_965125	1	965125	0.555684012362425
1_966211	1	966211	0.24730244931301
1_966708	1	966708	0.243419014825782
1_970911	1	970911	0.356629625273773
1_970922	1	970922	0.318412504113905
1_970932	1	970932	0.278522815781698
1_971132	1	971132	0.0549739254126718
1_973289	1	973289	0.48399856983188
1_973549	1	973549	0.134683375284902
1_973940	1	973940	0.0334103179451666
1_973946	1	973946	0.0840363910151349
1_974557	1	974557	0.253687350279609
1_976536	1	976536	0.453986000765441
1_978945	1	978945	0.0210265934893343
1_978996	1	978996	0.192979276278629
1_979347	1	979347	0.763228836021687
1_979355	1	979355	0.686607554418775
1_979560	1	979560	0.621930638079512
1_979654	1	979654	0.0833108717436772
1_980008	1	980008	0.261160597213049
1_980234	1	980234	0.154882340224125
1_981154	1	981154	0.439855671930552
1_982112	1	982112	0.177428150831901
1_999842	1	999842	-0.0738325928521068
1_1014042	1	1014042	-0.0580449775018646
1_1014058	1	1014058	-0.0539354641918877
1_1014217	1	1014217	0.0688551185799495
1_1014228	1	1014228	-0.0284420827749655
1_1020239	1	1020239	-0.0295994795806336
1_1022260	1	1022260	-0.0921840169586567
1_1041183	1	1041183	0.353601932576205
1_1041249	1	1041249	0.188754039227401
1_1041648	1	1041648	-0.506220409375535
1_1043354	1	1043354	-0.572653124332931
1_1043839	1	1043839	0.105418780779707
1_1045393	1	1045393	-0.27510550052069
1_1045965	1	1045965	-0.165386530741547
1_1046551	1	1046551	-0.231360568144951
1_1046845	1	1046845	-0.159545652152487
1_1046854	1	1046854	-0.231160430107467
1_1047403	1	1047403	-0.227793953124759
1_1047626	1	1047626	-0.361443043333079
1_1048126	1	1048126	-0.0730955838752157
1_1048900	1	1048900	-0.110217939788918
1_1049046	1	1049046	0.0566505032200554
1_1049746	1	1049746	-0.0306884430548209
1_1049791	1	1049791	-0.0250698211001197
1_1050785	1	1050785	-0.0638623040971787
1_1051538	1	1051538	-0.354840308508832
1_1052014	1	1052014	0.00490692812605745
1_1053768	1	1053768	0.42312503706068
1_1053827	1	1053827	0.358061580766905
1_1053840	1	1053840	0.37717040371461
1_1053915	1	1053915	0.100098164480533
1_1053933	1	1053933	0.107183237239049
1_1054917	1	1054917	-0.129840072137293
1_1055393	1	1055393	-0.0630376712991402
1_1069443	1	1069443	-0.286640808272858
1_1069566	1	1069566	-0.644554367440106
1_1069577	1	1069577	-0.5479943633628
1_1071916	1	1071916	-0.335666919558705
1_1072052	1	1072052	0.229343829614059
1_1072237	1	1072237	-0.279632884644377
1_1072454	1	1072454	0.00525927763101759
1_1083934	1	1083934	-0.251991900917082
1_1084003	1	1084003	-0.189191113901011
1_1087154	1	1087154	0.0661144830178724
1_1087155	1	1087155	0.0654207128477877
1_1091167	1	1091167	0.107183237239049
1_1091290	1	1091290	-0.337427377423142
1_1091576	1	1091576	0.13498278278642
1_1180168	1	1180168	-0.458582907085593
1_1180802	1	1180802	-0.290917412825406
1_1185041	1	1185041	-0.300901501398028
1_1185051	1	1185051	-0.426432383481887
1_1185123	1	1185123	-0.521500640911425
1_1188877	1	1188877	-0.324108892559353
1_1194632	1	1194632	0.138596189870511
1_1196705	1	1196705	0.495935548745577
1_1197558	1	1197558	-0.361693185516781
1_1197586	1	1197586	-0.292472879327447
1_1197745	1	1197745	-0.222642487477528
1_1203822	1	1203822	-0.130976499955716
1_1203836	1	1203836	-0.0850150439209903
1_1203871	1	1203871	0.0691208816903792
1_1204015	1	1204015	0.206893138800668
1_1204185	1	1204185	0.218063440548888
1_1206396	1	1206396	-0.12482427297412
1_1211585	1	1211585	0.316482477015506
1_1211644	1	1211644	0.0210265934893343
1_1212898	1	1212898	-0.442373927350909
1_1213249	1	1213249	-0.326896709930973
1_1213734	1	1213734	-0.289313527122816
1_1214100	1	1214100	-0.417857647743877
1_1217629	1	1217629	-0.332610361125366
1_1218703	1	1218703	0.157762930281074
1_1218967	1	1218967	-0.145331792932786
1_1228651	1	1228651	-0.154823241910083
1_1228685	1	1228685	-0.234628281978862
1_1232416	1	1232416	-0.80613680964845
1_1232800	1	1232800	-0.386148788016539
1_1242506	1	1242506	-0.184292314488172
1_1242516	1	1242516	-0.127836792425148
1_1242601	1	1242601	0.0716526665593026
1_1242864	1	1242864	-0.356043055590489
1_1242871	1	1242871	-0.304549278413172
1_1242875	1	1242875	-0.370398348567559
1_1242886	1	1242886	-0.345755737182288
1_1243468	1	1243468	-0.0614355667026386
1_1244420	1	1244420	-0.174524215628473
1_1246651	1	1246651	-0.624542671935974
1_1255392	1	1255392	-0.0339398657285942
1_1262318	1	1262318	-0.457807556370479
1_1266173	1	1266173	-0.284599689068928
1_1266225	1	1266225	-0.242007812344459
1_1284021	1	1284021	-0.378580865219904
1_1285442	1	1285442	-0.110217939788918
1_1285529	1	1285529	-0.158297105955228
1_1285594	1	1285594	0.26021425736876
1_1286150	1	1286150	-0.169656968119775
1_1286952	1	1286952	-0.394010905789509
1_1287578	1	1287578	0.0833108717436772
1_1287983	1	1287983	-0.106352712986893
1_1288005	1	1288005	0.185413411390217
1_1290683	1	1290683	0.0654207128477877
1_1290687	1	1290687	-0.0247770961237906
1_1291289	1	1291289	0.166457033010898
1_1291310	1	1291310	0.0210265934893343
1_1291396	1	1291396	0.0616685779866799
1_1294498	1	1294498	-0.332610361125366
1_1296589	1	1296589	-0.37630890405605
1_1309258	1	1309258	-0.272704609567376
1_1310642	1	1310642	-0.424384554833028
1_1310993	1	1310993	-0.263426795979365
1_1311058	1	1311058	-0.529988575308484
1_1311467	1	1311467	-0.0542615338149028
1_1311527	1	1311527	-0.0944506239306016
